time,running_avg_rt_ms
3406.9902,137.1370
3407.0751,137.1363
3407.1360,137.1358
3407.1815,137.1347
3407.2792,137.1337
3407.3479,137.1335
3407.3722,137.1333
3407.4525,137.1325
3407.5175,137.1313
3407.5292,137.1298
3407.6278,137.1295
3407.6842,137.1292
3407.7285,137.1295
3407.7601,137.1296
3407.7639,137.1297
3407.7947,137.1295
3407.8448,137.1280
3407.8945,137.1268
3408.0609,137.1254
3408.0612,137.1238
3408.1417,137.1231
3408.1575,137.1225
3408.1795,137.1218
3408.3196,137.1227
3408.3268,137.1237
3408.3359,137.1247
3408.3424,137.1257
3408.3493,137.1267
3408.3849,137.1282
3408.3885,137.1296
3408.4552,137.1312
3408.4857,137.1323
3408.5216,137.1337
3408.5573,137.1352
3408.6395,137.1372
3408.6679,137.1390
3408.6903,137.1410
3408.6981,137.1410
3408.7710,137.1415
3408.8322,137.1426
3408.8377,137.1425
3408.9450,137.1431
3408.9862,137.1442
3408.9941,137.1444
3409.0003,137.1444
3409.0557,137.1444
3409.0709,137.1445
3409.1104,137.1447
3409.1341,137.1443
3409.1785,137.1442
3409.2079,137.1442
3409.2564,137.1446
3409.2704,137.1437
3409.3238,137.1433
3409.3367,137.1423
3409.3785,137.1409
3409.4221,137.1399
3409.5858,137.1399
3409.6009,137.1395
3409.6413,137.1392
3409.6939,137.1394
3409.7116,137.1397
3409.7378,137.1401
3409.7461,137.1399
3409.7632,137.1394
3409.8456,137.1399
3409.8941,137.1409
3409.9046,137.1419
3409.9176,137.1424
3409.9544,137.1432
3409.9751,137.1438
3410.0144,137.1448
3410.0734,137.1463
3410.1012,137.1471
3410.1115,137.1474
3410.1147,137.1472
3410.1237,137.1470
3410.1364,137.1463
3410.1961,137.1458
3410.2358,137.1453
3410.2503,137.1450
3410.2833,137.1443
3410.2936,137.1435
3410.3001,137.1421
3410.3315,137.1406
3410.5226,137.1393
3410.5926,137.1389
3410.6080,137.1373
3410.6238,137.1358
3410.7457,137.1343
3410.7726,137.1328
3410.7910,137.1311
3410.8493,137.1297
3410.8857,137.1288
3410.8867,137.1279
3410.9631,137.1278
3410.9882,137.1270
3411.1006,137.1272
3411.1753,137.1280
3411.1952,137.1286
3411.2031,137.1282
3411.2150,137.1279
3411.2219,137.1268
3411.2271,137.1257
3411.2411,137.1245
3411.2748,137.1234
3411.2774,137.1219
3411.3945,137.1203
3411.4418,137.1187
3411.4562,137.1171
3411.4941,137.1156
3411.5367,137.1142
3411.6270,137.1133
3411.6501,137.1118
3411.7353,137.1108
3411.7572,137.1100
3411.8103,137.1096
